Nº,Categoria,Cargo,Empresa,Local,País,Tipo,Seniority,Match,Canal,Data_Candidatura,Etapa,Resposta,Notas_Processo,URL,Keywords_JD
94,Design Director,Principal Agent Experience Designer,OutSystems,San Francisco Bay Area,EUA,IC,Principal,Alto,Portal,2026-04-08,Aplicado,,,https://outsystems.wd503.myworkdayjobs.com/en-US/OutSystems/job/Principal-Agent-Experience-Designer_R1479,"AX Design · Agent Experience · LLM Patterns · Design Systems · Figma · Cursor · Claude Code · B2B SaaS · Low-code Platform · APIs · State Machines · Human-AI Collaboration · 8+ yrs UX"
95,Senior IC Brasil,Design Lead / Product Designer,Alice,São Paulo SP (Híbrido),Brasil,IC,Lead,Alto,LinkedIn Apply,2026-04-14,Aplicado,,,https://www.linkedin.com/jobs/view/4394746244,"AI Agents · Design Systems · Craft Visual · Prototipagem Funcional · Design Reviews · Healthtech · Human-in-the-loop · Autonomia sem Sprint · Time Enxuto"
96,Design Systems,Product Designer Specialist,Digibee,Remote (Brasil),Brasil,IC,Senior,Alto,Portal (Gupy),2026-04-14,Aplicado,,Deadline 2026-05-04 · 8 etapas · Portfolio review · Global Equity · Track: https://digibee.gupy.io/candidates/applications/704493018,https://www.linkedin.com/jobs/view/4395176106,"Design Systems · Micro-interactions · Motion · Typography · B2B SaaS · DevTools · iPaaS · Agentic AI · Human-in-the-loop · Low-code · APIs · Inglês Avançado · Remote-first · JTBD · Opportunity Solution Trees"
97,Design Systems,Lead Product Designer Systems,Mindbody,Remote (Brasil),Brasil,IC,Lead,Alto,LinkedIn Apply,2026-04-14,Recusado,S,Multi-produto (Mindbody + ClassPass + Playlist) · Recusado 2026-04-29 pelo Playlist Talent Acquisition Team (rejeição padrão pós-review do CV),https://www.linkedin.com/jobs/view/4387097480,"Design Systems · Production-ready Specs · Accessibility · AI Workflows · B2B Platform · Cross-functional · Multi-surface · Professional Services"
98,Design Engineer,Principal Design Technologist,Intuit,Mountain View CA,EUA,IC,Principal,Alto,LinkedIn Apply,2026-04-14,Aplicado,,Requer visto/relocation · $239k-$323k + equity,https://www.linkedin.com/jobs/view/4401723704,"Code-based Design Systems · Motion Design · Prototyping Tools · Agentic AI · Production Components · UI Engineering · 8+ yrs · HCI · $239-323k"
99,Senior IC Brasil,UX Project Leader,Mercado Libre,Buenos Aires (Híbrido),Argentina,IC,Senior,Médio,LinkedIn Apply,2026-04-14,Aplicado,,,https://www.linkedin.com/jobs/view/4399744661,"Figma · UX/UI · AI em Design · Design Debt · Account Flows · E-commerce · Hybrid · Squad"
100,Design Director,Head of Product Design,Superfiliate,Remote (Brasil/Global),Brasil,Management,Head,Alto,,,Pesquisar,,Startup · 100% Remote aceita Brasil · 5+ anos + 1-2 liderando · Inglês profissional · LinkedIn: https://www.linkedin.com/jobs/view/4388539049,https://www.geekhunter.com.br/superfiliate/jobs/head-of-product-design-1,"Design Systems · UI Craft · Cursor · Claude · Midjourney · Figma · AI Tools · B2B2C · Creator Economy · Front-end · Startup · Remote · Equity"
101,Senior IC Brasil,Profissional Líder UI/UX,Radix,Porto Alegre RS,Brasil,IC,Lead,Médio,,,Arquivado,N,Vaga encerrada · Link LinkedIn inválido,https://www.linkedin.com/jobs/view/4374510997,"UI/UX Lead · Design Systems Enterprise · Industrial/Manufacturing · GenAI · Governance · Global Digital Transformation · Inglês Avançado · Onsite"
102,Design Systems,Product Designer Sênior,Brivia,Porto Alegre RS,Brasil,IC,Senior,Alto,LinkedIn Apply,2026-04-15,Aplicado,,PJ · Cultura nômade · +200 candidatos · Foco em Design System · Risco: valor PJ Brasil provavelmente abaixo do target,https://www.linkedin.com/jobs/view/4390957969,"Design Systems · Design Tokens · WCAG · Figma Avançado (Auto Layout/Variables/Variants) · React · CSS/SASS · Storybook · Mentoring · Documentação · PJ"
103,Design Director,Design Manager,Flutter Brazil,Porto Alegre RS (Remote),Brasil,Management,Manager,Médio,LinkedIn Apply,2026-04-16,Aplicado,,+200 candidatos · 1 mês aberta · Remoto · Betting/Gaming · Pretensão: R$18.000 CLT,https://www.linkedin.com/jobs/view/4382437818,"Product Design · Design Systems · Mentoring · UX Research · Analytics · Experimentação · Inglês Avançado · Cross-functional · Flutter Edge Global"
104,Design Director,Product Design Manager - Nuvem Envio,Nuvemshop,Remote (Brasil),Brasil,Management,Manager,Médio,LinkedIn Apply,2026-04-16,Aplicado,,Remote-first · LATAM distribuído (BR+AR) · Espanhol diferencial · Cursor/AI tools · E-commerce/Logística · Pretensão: R$20.000 CLT,https://www.linkedin.com/jobs/view/4394949756,"Product Design · Figma · Cursor · AI Tools · Logistics · E-commerce · User Research · Design Systems · LATAM · Espanhol"
105,Senior IC Brasil,Specialist Product Designer,CI&T,Porto Alegre RS,Brasil,IC,Senior,Alto,LinkedIn Apply,2026-04-16,AI Pre-Selection (Completo),,Fintech (mortgage/loan) · Inglês Expert · AI Prototyping (Bolt) · Consultoria · Pretensão: R$20.000 CLT · Digaí screening 4/4 perguntas respondidas 2026-04-17 · Feedback positivo · Sugestão: mais métricas de impacto concretas,https://www.linkedin.com/jobs/view/4401490452,"Product Design · Design Systems · Figma · AI Prototyping · Bolt · Fintech · Mortgage · Research · System Thinking · Inglês Expert · HCI"
106,Senior IC Brasil,Sr. Staff Product Designer,Grupo SBF (Nike/Centauro),Porto Alegre RS,Brasil,IC,Staff,Médio,LinkedIn Easy Apply,2026-04-17,Aplicado,,+200 candidatos · 1 semana · Retail/E-commerce · AI tools diferencial,https://www.linkedin.com/jobs/view/4398490866,"Product Design · E-commerce · Retail · Fluxos Complexos · Conversão · Experimentação · AI Tools · Data-driven · Multi-squad"
107,Senior IC Brasil,Especialista de Design,Elo,Barueri SP (Híbrido/Remote),Brasil,IC,Senior,Alto,LinkedIn Easy Apply,2026-04-17,Aplicado,,Fintech payments · DS governance · AI prototyping · Acessibilidade,https://www.linkedin.com/jobs/view/4388491166,"Product Design · Design Systems · Governance · Accessibility · Fintech · Payments · GenAI · Prototyping · UX Research · Information Architecture"
108,Senior IC Brasil,Staff Product Designer,Flash,Porto Alegre RS (Híbrido),Brasil,IC,Staff,Alto,LinkedIn Apply,2026-04-17,Aplicado,,B2B SaaS · 0→1 · 154 candidatos · Craft + Strategy · Mentoring · Pretensão: R$18-20k CLT · Pediu conversa sobre desafios antes de $$,https://www.linkedin.com/jobs/view/4400439031,"Product Design · Staff · B2B SaaS · 0→1 · Strategy · Craft · User Research · Prototyping · Cross-functional · Mentoring"
109,Design Director,Gerente de Design,Serasa Experian,São Paulo SP,Brasil,Management,Manager,Médio,,,Mapeado,,+200 candidatos · 6 dias · Data/Fintech · People management + strategy · 22k funcionários global,https://www.linkedin.com/jobs/view/4400601899,"Design Management · People Leadership · Product Strategy · Business Discovery · Crédito · Fraude · Autenticação · Data Tech"
110,Design Systems,Especialista Product Design (Design System),Caju,Brasil,Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga encerrada,https://caju.gupy.io/jobs/8328681,"Design Systems · Product Design · Especialista"
111,Design Systems,UI/UX Designer Senior — Design System,Grupo Marista (PUCPR),Brasil,Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga encerrada,https://grupomarista.gupy.io/jobs/9846424,"Design Systems · UI/UX · Governance"
112,Design Director,Coordenadora de UX - Inovação,C6 Bank,São Paulo SP (Presencial),Brasil,Management,Coordinator,Médio,,,Arquivado,N,Vaga encerrada 2026-04-23 · CV já adaptado no Figma (node 678:93) pode ser reaproveitado para próximas vagas de UX Leadership/Coordenação BR,https://www.linkedin.com/jobs/view/4399043881,"UX Leadership · People Management · Product Strategy · Métricas · Fintech · Digital Scale · Stakeholder Alignment"
113,Senior IC Brasil,Senior Staff Product Designer - AI,Jobgether,Remote (Brasil/Global),Brasil,IC,Staff,Alto,LinkedIn Easy Apply,2026-04-17,Aplicado,,8+ anos + 3 Staff · AI-powered products · Conversational UX · Prompt design · Human-in-the-loop · Remote-friendly · Empresa real não revelada,https://www.linkedin.com/jobs/view/4402721334,"Staff · AI/ML · Conversational UX · Prompt Design · Copilots · Human-in-the-loop · Design Vision · Mentoring · 8+ yrs"
114,Senior IC Brasil,Senior Product Designer - Investimentos,Banco PAN,São Paulo SP (Híbrido),Brasil,IC,Senior,Médio,LinkedIn Apply,2026-04-17,Aplicado,,Híbrido 3x presencial Faria Lima · Fintech investimentos · Requer relocation SP,https://www.linkedin.com/jobs/view/4403123317,"Product Design · Fintech · Investimentos · Stakeholder Influence · End-to-end · Híbrido · Faria Lima"
115,Design Systems,Design System Lead (Leaf DS),StrategyCX,Remote,UK,IC,Lead,Alto,LinkedIn (Inbound),2026-04-17,2nd Round Agendado,,Vanessa Castro (Sr Exec Assistant) · 2 amigos internos · DS "Leaf" em produção · React + React Native + TypeScript + Tailwind + Figma + Storybook · Web & Mobile · Azure DevOps + GitHub · 1ª entrevista 2026-04-20 · 2ª entrevista 2026-04-24 15h BRT com Gabriel (situational/hard skills) + Isadora + Todd (design×engineering collab),,"Design Systems · React · React Native · TypeScript · Tailwind · Figma · Storybook · Tokens · Theming · Component Library · Lead"
116,Design Engineer,Senior Design Engineer,Buffer,Remote (Global),Global,IC,Senior,Alto,,2026-04-18,Mapeado,,4-day workweek · $156.5-202.3k + equity · Next.js 15 · React · TypeScript · CSS Modules · Motion · Radix UI · Deadline 2026-04-22 5PM GMT,https://buffer.com/journey/3cc29ce6-6336-4a62-bf3b-b3d307f92f6d,"React · TypeScript · Next.js · CSS · Motion · Design Systems · Component Library · Radix UI · Accessibility · Remote"
117,Design Systems,Senior Product Designer - Labs,Fullscript,Canada (Remote),Global,IC,Senior,Alto,,2026-04-23,Mapeado,,Labs (diagnostic infra · clinical data · lab results) · AI-native workflow explícito na JD (prototipar com AI · automatizar workflow) · Fit forte com posicionamento Cursor/Claude,https://jobs.lever.co/fullscript/63262ea0-d02e-49b4-97d5-ffad839d7b4c,"Product Design · Senior · AI Tools · AI Prototyping · Workflow Automation · Health Tech · Labs · Clinical Data · Remote"
118,Design Director,Senior UX Designer (Prime Video Commerce),Amazon,London UK,UK,IC,Senior,Alto,,2026-04-23,Mapeado,,Prime Video & Amazon MGM Studios · Global Growth team · 8+ anos · Figma · Web/Mobile/Living Room · Visa sponsorship Skilled Worker provável,https://www.linkedin.com/jobs/view/4366723007,"Amazon · Prime Video · UX Design · Commerce · Figma · Web · Mobile · Living Room · 8+ yrs · London · Visa Sponsor"
119,Senior IC Brasil,Product Designer,Revolut,Portugal,Portugal,IC,Senior,Médio,,2026-04-23,Mapeado,,Entrada EU via CPLP (sem visto necessário) · Nível 3+ anos (Mid/Senior) · iOS · Android · Web · Fintech · Cross-platform DS,https://www.linkedin.com/jobs/view/3775455569,"Revolut · Product Design · Fintech · iOS · Android · Web · Portugal · CPLP · Cross-platform"
120,Design Director,Founding Lead Product Designer,Healf,London UK,UK,IC,Lead,Alto,,2026-04-23,Mapeado,,Wellbeing Intelligence startup · Europe fastest-growing · Zero-to-one DS do zero · Founding = equity · Visa sponsorship depende do tamanho,https://www.linkedin.com/jobs/view/4405658707,"Founding · Lead · Product Design · Design System 0→1 · Wellbeing Tech · Startup · Equity · London"
121,Design Director,Product Design Manager,Pennylane,Paris France (Remote EU),France,Management,Manager,Baixo,,,Arquivado,N,"Blocker: exige francês fluente",https://www.linkedin.com/jobs/view/4384157782,"Design Management · B2B Fintech · People Leadership · French Required"
122,Design Engineer,Senior Design Engineer,Provn,Remote (US),EUA,IC,Senior,Alto,,2026-04-23,Mapeado,,Travel tech · Posted 2026-04-12 · JD cita Product Designer + Front-end + Hybrid (posicionamento Caio) · AI tools core craft · Research → Prototyping em código → Production,https://www.designremotejobs.com/job/provn-senior-design-engineer,"Design Engineer · Travel Tech · AI Tools · Prototyping · Frontend · Hybrid Role · Remote US"
123,Design Systems,Staff Product Designer (Remote EMEA/LATAM),Jobgether,Remote (EMEA/LATAM),Global,IC,Staff,Alto,,2026-04-23,Mapeado,,$120-170k USD · 5-10 anos + 2 liderança · Evolução e adoção de DS global · Aceita LATAM remote,https://designproject.io/jobs/jobs/staff-product-designer-remote-emea-or-latam-at-jobgether-eo8la1,"Staff · Product Design · Design Systems · Global · Remote LATAM · EMEA · Leadership · Scalability"
124,Design Engineer,Senior Design Engineer,Envato,Remote (Global),Global,IC,Senior,Alto,,2026-04-23,Mapeado,,Bridge design + front-end · AI-powered features · Visual craft + technical execution · Marketplace criativo global,https://jobs.lever.co/envato-2/ebcca07e-7c4e-4352-bfaf-09c93b597f60,"Design Engineer · AI-powered · Marketplace · Creative · Visual Craft · Frontend · Remote Global"
125,Design Engineer,Senior Design Engineer (Frontend),Aledade,Remote (US),EUA,IC,Senior,Alto,,2026-04-23,Mapeado,,Experience Design + Research team · Design Systems & Infrastructure · 4+ anos fullstack + 3+ frontend · Vue · Storybook · TypeScript · Healthcare US,https://jobs.lever.co/aledade/3a9dff55-b826-4284-b808-4058636e87dd,"Design Engineer · Frontend · Design Systems · Vue · Storybook · TypeScript · Healthcare · Remote US"
126,Design Systems,Senior Design System Designer,Hostinger,Remote,Global,IC,Senior,Médio,,2026-04-23,Mapeado,,5+ anos liderando DS · LT-based · Cultura remote · Hosting platform,https://jobs.lever.co/hostinger/fdc72254-52e4-4267-865f-5369cbe795a5,"Design System · Senior · Hosting · Lithuania · Remote · Leadership"
127,Design Systems,Design Systems Engineer (HMI),Revel,Remote,EUA,IC,Senior,Médio,,2026-04-23,Mapeado,,HMI (Human Machine Interface) · Scooters elétricas · Standards · Accessibility · Foundations · Nicho mobility,https://jobs.lever.co/revel/0750d31d-53cc-4a73-9660-54560800a0e1,"Design System · HMI · Hardware UI · Mobility · E-scooters · Accessibility · Standards"
128,Design Systems,Senior Product Designer (Design Systems),Hostaway,Remote (EMEA),Global,IC,Senior,Alto,,2026-04-23,Mapeado,,Vacation rental SaaS · Airbnb for hosts · Remote EMEA (verificar se aceita Brasil) · DS focus,https://www.designremotejobs.com/job/hostaway-senior-product-designer-design-systems-100-remote-emea,"Senior · Product Design · Design Systems · SaaS · Vacation Rental · Remote EMEA"
129,Design Engineer,Senior/Staff Product Engineer,Linear,Remote,EUA,IC,Staff,Alto,,2026-04-23,Mapeado,,Linear é referência design-forward engineering · TypeScript · React · Craft obsessivo · Cultura que valoriza design engineers,https://www.tealhq.com/job/senior-staff-product-engineer_7ea1af0f2851fb119ff451736a40cdf818526,"Senior · Staff · Product Engineer · TypeScript · React · Design-forward · Craft · SaaS · Remote"
130,Senior IC Brasil,Designer Sênior | CX,Elo,Barueri SP (Híbrido/Presencial/Remote),Brasil,IC,Senior,Alto,,2026-04-27,Mapeado,,Segunda vaga Elo (já aplicado #107 Especialista DS) · CX Team · Service Design · End-to-end discovery · Journey maps · Blueprints · Research · Diferenciais: AI tools · DS governance · LLM aplicado · Métricas (NPS/CES/CSAT) · A/B testing · Trabalho flexível por área,https://www.linkedin.com/jobs/view/4397972286,"Designer Sênior · CX · Service Design · UX Research · Strategic Design · Systems Thinking · AI Tools · LLM · Fintech · Métricas · Mid-Senior"
131,Senior IC Brasil,Product Design Senior | Cartões,XP Inc.,São Paulo SP (Híbrido),Brasil,IC,Senior,Médio,LinkedIn Apply,2026-04-27,Aplicado,,Cards platform reconstruction · Product trio (design+product+eng) · 200+ candidatos · Mid-Senior · Híbrido SP · Service Design · Design System · Design Thinking · Analytics/CSAT · Requer relocation,https://www.linkedin.com/jobs/view/4385129108,"Product Design · Senior · Fintech · Cartões · Service Design · Design System · Design Thinking · UX Research · Agile · CSAT · São Paulo · Híbrido"
132,Senior IC Brasil,Staff Product Designer | Inovação,iFood,Porto Alegre RS,Brasil,IC,Staff,Alto,LinkedIn Apply,2026-04-27,Aplicado,,Local match (Porto Alegre) · Inovação team · Zero-to-one · AI tool mastery REQUIRED · Pioneering spirit · Inglês avançado · 200+ candidatos · Postada há 3 dias · Ref 50513,https://www.linkedin.com/jobs/view/4384846379,"Staff · Product Design · Inovação · AI Tools · Strategic Thinking · Prototyping · Research · Innovation · Porto Alegre · Inglês Avançado"
133,Senior IC Brasil,Product Designer Sênior | Remoto,Localiza&Co,Remote (Brasil),Brasil,IC,Senior,Alto,LinkedIn Apply,2026-04-27,Aplicado (Teste Pendente),,100% Remote · Senior · AI prototyping tools required · Multi-squad · Complex journey mapping · Stakeholder influence · Mentoring · Profit sharing + carro corporativo · Gigante BR (locação) · Carta de apresentação enviada · Teste técnico pendente,https://www.linkedin.com/jobs/view/4401936280,"Product Design · Senior · Remote · AI Prototyping · Figma · Journey Mapping · UX Research · Stakeholder Influence · Mentoring · Brazilian Enterprise · CLT"
134,Design Director,Sr Manager UX,Despegar (Prosus Group),Alphaville SP (Híbrido 8d/mês),Brasil,Management,Manager,Alto,LinkedIn Apply,2026-04-30,Aplicado,,Time multidisciplinar 15 pessoas SP+BA · Designers + Content + DesignOps · Post-purchase + operational tools · DS evolution + DesignOps · Feedback culture · Marketplace/e-commerce · Português + Inglês/Espanhol · Híbrido leve (8d mês),https://www.linkedin.com/jobs/view/4393547462,"Design Management · UX Leadership · Design Systems · DesignOps · People Management · Marketplace · E-commerce · Travel · 15-person team · LATAM"
